user_id,event,date,amount
user_1,registered,2024-06-05,0
user_1,paid_month_1,2024-06-02,990
user_2,registered,2024-09-04,0
user_2,paid_month_1,2024-09-02,990
user_2,paid_month_2,2024-10-07,990
user_3,registered,2024-07-14,0
user_4,registered,2024-02-18,0
user_4,paid_month_1,2024-02-27,990
user_4,paid_month_2,2024-03-08,990
user_4,paid_month_3,2024-04-19,990
user_5,registered,2024-01-19,0
user_5,paid_month_1,2024-01-02,990
user_5,paid_month_2,2024-02-02,990
user_5,paid_month_3,2024-03-05,990
user_6,registered,2024-05-14,0
user_7,registered,2024-02-19,0
user_7,paid_month_1,2024-02-27,990
user_7,paid_month_2,2024-03-04,990
user_7,paid_month_3,2024-04-21,990
user_8,registered,2024-04-12,0
user_9,registered,2024-12-03,0
user_9,paid_month_1,2024-12-20,990
user_10,registered,2024-11-18,0
user_10,paid_month_1,2024-11-11,990
user_11,registered,2024-08-12,0
user_12,registered,2024-03-23,0
user_12,paid_month_1,2024-03-03,990
user_12,paid_month_2,2024-04-17,990
user_12,paid_month_3,2024-05-11,990
user_13,registered,2024-12-15,0
user_14,registered,2024-02-04,0
user_14,paid_month_1,2024-02-06,990
user_14,paid_month_2,2024-03-05,990
user_14,paid_month_3,2024-04-14,990
user_15,registered,2024-01-22,0
user_16,registered,2024-09-19,0
user_16,paid_month_1,2024-09-27,990
user_17,registered,2024-12-12,0
user_17,paid_month_1,2024-12-19,990
user_17,paid_month_2,2024-01-03,990
user_17,paid_month_3,2024-02-09,990
user_18,registered,2024-08-23,0
user_18,paid_month_1,2024-08-02,990
user_18,paid_month_2,2024-09-10,990
user_18,paid_month_3,2024-10-22,990
user_19,registered,2024-08-10,0
user_19,paid_month_1,2024-08-22,990
user_20,registered,2024-08-12,0
user_21,registered,2024-02-16,0
user_22,registered,2024-05-05,0
user_22,paid_month_1,2024-05-13,990
user_23,registered,2024-08-03,0
user_24,registered,2024-07-18,0
user_25,registered,2024-03-27,0
user_25,paid_month_1,2024-03-18,990
user_26,registered,2024-07-12,0
user_26,paid_month_1,2024-07-13,990
user_26,paid_month_2,2024-08-05,990
user_27,registered,2024-03-08,0
user_27,paid_month_1,2024-03-01,990
user_28,registered,2024-10-06,0
user_29,registered,2024-01-05,0
user_29,paid_month_1,2024-01-12,990
user_29,paid_month_2,2024-02-11,990
user_29,paid_month_3,2024-03-23,990
user_30,registered,2024-09-20,0
user_30,paid_month_1,2024-09-24,990
user_31,registered,2024-11-26,0
user_31,paid_month_1,2024-11-13,990
user_32,registered,2024-02-16,0
user_32,paid_month_1,2024-02-02,990
user_33,registered,2024-04-15,0
user_34,registered,2024-06-20,0
user_35,registered,2024-01-19,0
user_36,registered,2024-02-12,0
user_36,paid_month_1,2024-02-03,990
user_36,paid_month_2,2024-03-20,990
user_37,registered,2024-11-09,0
user_37,paid_month_1,2024-11-20,990
user_38,registered,2024-02-04,0
user_38,paid_month_1,2024-02-15,990
user_39,registered,2024-05-03,0
user_40,registered,2024-12-11,0
user_40,paid_month_1,2024-12-16,990
user_40,paid_month_2,2024-01-06,990
user_40,paid_month_3,2024-02-07,990
user_41,registered,2024-09-12,0
user_42,registered,2024-09-01,0
user_42,paid_month_1,2024-09-10,990
user_42,paid_month_2,2024-10-28,990
user_43,registered,2024-05-17,0
user_43,paid_month_1,2024-05-06,990
user_44,registered,2024-04-18,0
user_44,paid_month_1,2024-04-17,990
user_45,registered,2024-04-20,0
user_45,paid_month_1,2024-04-25,990
user_45,paid_month_2,2024-05-26,990
user_46,registered,2024-07-24,0
user_46,paid_month_1,2024-07-07,990
user_46,paid_month_2,2024-08-12,990
user_46,paid_month_3,2024-09-01,990
user_47,registered,2024-05-16,0
user_48,registered,2024-12-20,0
user_48,paid_month_1,2024-12-15,990
user_48,paid_month_2,2024-01-24,990
user_48,paid_month_3,2024-02-12,990
user_49,registered,2024-02-08,0
user_50,registered,2024-08-07,0
user_50,paid_month_1,2024-08-16,990
user_50,paid_month_2,2024-09-20,990
user_50,paid_month_3,2024-10-16,990
user_51,registered,2024-11-12,0
user_51,paid_month_1,2024-11-03,990
user_51,paid_month_2,2024-12-04,990
user_51,paid_month_3,2024-01-26,990
user_52,registered,2024-12-25,0
user_53,registered,2024-03-14,0
user_53,paid_month_1,2024-03-11,990
user_54,registered,2024-12-13,0
user_54,paid_month_1,2024-12-24,990
user_54,paid_month_2,2024-01-24,990
user_55,registered,2024-03-01,0
user_56,registered,2024-08-26,0
user_56,paid_month_1,2024-08-20,990
user_56,paid_month_2,2024-09-16,990
user_56,paid_month_3,2024-10-12,990
user_57,registered,2024-03-18,0
user_57,paid_month_1,2024-03-01,990
user_58,registered,2024-12-21,0
user_59,registered,2024-12-05,0
user_59,paid_month_1,2024-12-28,990
user_60,registered,2024-04-01,0
user_61,registered,2024-05-17,0
user_62,registered,2024-10-11,0
user_63,registered,2024-07-27,0
user_64,registered,2024-12-12,0
user_64,paid_month_1,2024-12-22,990
user_64,paid_month_2,2024-01-17,990
user_64,paid_month_3,2024-02-17,990
user_65,registered,2024-03-18,0
user_66,registered,2024-09-01,0
user_66,paid_month_1,2024-09-25,990
user_67,registered,2024-01-25,0
user_67,paid_month_1,2024-01-06,990
user_68,registered,2024-10-24,0
user_69,registered,2024-01-11,0
user_69,paid_month_1,2024-01-17,990
user_69,paid_month_2,2024-02-26,990
user_69,paid_month_3,2024-03-18,990
user_70,registered,2024-01-08,0
user_71,registered,2024-01-25,0
user_72,registered,2024-08-18,0
user_73,registered,2024-02-15,0
user_73,paid_month_1,2024-02-17,990
user_73,paid_month_2,2024-03-07,990
user_73,paid_month_3,2024-04-15,990
user_74,registered,2024-09-18,0
user_74,paid_month_1,2024-09-17,990
user_74,paid_month_2,2024-10-23,990
user_74,paid_month_3,2024-11-09,990
user_75,registered,2024-09-07,0
user_75,paid_month_1,2024-09-05,990
user_76,registered,2024-07-15,0
user_76,paid_month_1,2024-07-22,990
user_77,registered,2024-02-07,0
user_77,paid_month_1,2024-02-26,990
user_78,registered,2024-03-23,0
user_78,paid_month_1,2024-03-12,990
user_79,registered,2024-03-15,0
user_80,registered,2024-02-13,0
user_80,paid_month_1,2024-02-06,990
user_80,paid_month_2,2024-03-27,990
user_81,registered,2024-12-14,0
user_81,paid_month_1,2024-12-13,990
user_82,registered,2024-04-12,0
user_82,paid_month_1,2024-04-24,990
user_83,registered,2024-06-18,0
user_83,paid_month_1,2024-06-23,990
user_84,registered,2024-06-17,0
user_84,paid_month_1,2024-06-17,990
user_84,paid_month_2,2024-07-04,990
user_84,paid_month_3,2024-08-26,990
user_85,registered,2024-04-04,0
user_86,registered,2024-05-02,0
user_86,paid_month_1,2024-05-06,990
user_87,registered,2024-03-27,0
user_87,paid_month_1,2024-03-22,990
user_87,paid_month_2,2024-04-09,990
user_87,paid_month_3,2024-05-18,990
user_88,registered,2024-09-19,0
user_88,paid_month_1,2024-09-11,990
user_89,registered,2024-01-26,0
user_89,paid_month_1,2024-01-14,990
user_89,paid_month_2,2024-02-09,990
user_89,paid_month_3,2024-03-21,990
user_90,registered,2024-02-26,0
user_91,registered,2024-10-28,0
user_92,registered,2024-05-28,0
user_93,registered,2024-01-11,0
user_93,paid_month_1,2024-01-14,990
user_93,paid_month_2,2024-02-09,990
user_93,paid_month_3,2024-03-02,990
user_94,registered,2024-09-23,0
user_95,registered,2024-02-06,0
user_96,registered,2024-03-07,0
user_96,paid_month_1,2024-03-21,990
user_97,registered,2024-04-10,0
user_97,paid_month_1,2024-04-22,990
user_98,registered,2024-06-26,0
user_99,registered,2024-05-02,0
user_100,registered,2024-12-17,0
user_100,paid_month_1,2024-12-07,990
user_100,paid_month_2,2024-01-08,990
user_100,paid_month_3,2024-02-04,990
user_101,registered,2024-11-27,0
user_101,paid_month_1,2024-11-22,990
user_101,paid_month_2,2024-12-27,990
user_101,paid_month_3,2024-01-17,990
user_102,registered,2024-05-23,0
user_103,registered,2024-04-11,0
user_104,registered,2024-12-24,0
user_104,paid_month_1,2024-12-13,990
user_104,paid_month_2,2024-01-02,990
user_104,paid_month_3,2024-02-01,990
user_105,registered,2024-02-21,0
user_105,paid_month_1,2024-02-09,990
user_106,registered,2024-01-03,0
user_106,paid_month_1,2024-01-13,990
user_106,paid_month_2,2024-02-22,990
user_106,paid_month_3,2024-03-20,990
user_107,registered,2024-04-23,0
user_108,registered,2024-08-06,0
user_109,registered,2024-08-01,0
user_110,registered,2024-06-18,0
user_110,paid_month_1,2024-06-02,990
user_110,paid_month_2,2024-07-10,990
user_111,registered,2024-03-01,0
user_111,paid_month_1,2024-03-03,990
user_112,registered,2024-09-21,0
user_113,registered,2024-09-25,0
user_114,registered,2024-05-27,0
user_115,registered,2024-07-19,0
user_116,registered,2024-01-10,0
user_116,paid_month_1,2024-01-08,990
user_117,registered,2024-09-28,0
user_117,paid_month_1,2024-09-22,990
user_117,paid_month_2,2024-10-26,990
user_117,paid_month_3,2024-11-13,990
user_118,registered,2024-06-24,0
user_118,paid_month_1,2024-06-05,990
user_119,registered,2024-10-21,0
user_120,registered,2024-12-17,0
user_120,paid_month_1,2024-12-24,990
user_120,paid_month_2,2024-01-17,990
user_121,registered,2024-09-25,0
user_121,paid_month_1,2024-09-27,990
